Textos_espanol,sdg
"Aunque derecho internacional convencional declara ciertos actos discretos asociados terrorismo constituyen crimenes jurisdiccion universal, derecho internacional -durante tiempo obstaculizado objecion ""el terrorista persona luchador libertad otra""- luchado tarea definir terrorismo si mismo. Al definir terrorismo declararlo delito internacional, legislacion antiterrorista canadiense autoriza enjuiciamiento nacional actividades terroristas independencia lugar momento produzcan identidad nacional autor victima. A medida legislaturas tribunales nacionales Canada paises prestan cada vez mas atencion constituye terrorismo, esfuerzos iterativos pueden contribuir promover consenso suficiente justifique enfoque internacional mas integrado, junto mecanismos internacionales aplicacion ley.",16
"I. Gianluca, R. Sylvia, W. David, ""Reducing Network Energy Consumption via Sleeping and Rate-Adaptation"", NSDI'08: Proceedings of the 5th USENIX Symposium on Networked Systems Design and Implementation, Berkeley, pp. F., ""Optimal Spectrum Sensing Framework for Cognitive Radio Networks"", IEEE Transaction on wireless communications, vol. El suministro energia bajo coste anima gente utilizar servicios comunicacion.",16
"Representa grupo mas amplio partes interesadas, incluidas organizaciones agricolas, industriales, urbanas medioambientales intereses gestion agua. El objetivo llevar cabo proceso gobernanza colaborativa dirigido partes interesadas, recomendar reforma gestiA3n agua dulce Nueva Zelanda. El Foro dirige proceso consenso identificar resultados objetivos compartidos agua dulce, asA polAticas pertinentes alcanzarlos. Coordinar planificaciA3n estratA©gica polAtica agua: Ejemplos OCDE (cont.)",6
"El objetivo principal articulo analizar si adopcion Directiva delitos medio ambiente decision adecuada punto vista politica penal. El articulo plantea cuestion basica si Union debe aplicar Derecho medioambiental Union mediante sanciones penales. A respecto, afirma que, segun principio ultima ratio, legislador Union solo puede exigir acto tipifique delito si necesario proteger interes europeo fundamental, unicamente condicion todas demas medidas resultado insuficientes salvaguardar dicho interes. El articulo examina, tanto, si medidas Derecho penal adecuadas aplicacion normas medioambientales Union y, segundo lugar, si existen medidas igualmente eficaces hacer cumplir Derecho medioambiental Union sanciones penales.",7
"En America Latina, varios escandalos corrupcion malversacion fondos publicos danado confianza ciudadanos instituciones democraticas paises region. La impunidad existente casos corrupcion falta rendicion cuentas dejan dificil posicion democracia legitimidad instituciones. El presente articulo objetivo analizar importancia fortalecimiento rendicion cuentas America Latina forma mejorar calidad democracia region luego analizar caso especifico Argentina, intento identificar vacios dentro sistema legal resultan importantes riesgos corrupcion evaluar forma mejorar situacion.",16
"Cada vez usuarios conectan internet hacen llamada telefonica, dejan ""huellas digitales"" pueden resultar utiles identificar personas implicadas delito acto terrorismo. De ahi gran interes autoridades policiales acceder datos trafico localizacion, contando ello cooperacion forzosa proveedores telecomunicaciones internet. Sin embargo, cuestionado eficacia obligar proveedores servicios conservar dichos datos luchar delincuencia. Ademas, obligaciones conservacion datos interfieren derecho intimidad personas, protegido articulo 8 Convenio Europeo Derechos Humanos (CEDH), solo pueden imponerse objetivo legitimo, saber, proteger seguridad ciudadanos, respetando plenamente principio proporcionalidad.",16
"La seguridad humana patron emergente entender debilidades globales. Sus defensores cuestionan nocion tradicional seguridad nacional argumentando responsable adecuado seguridad debe ser individuo Estado. Sudafrica, 21 anos despues transicion apartheid democracia, logrado introducir cambio sistema justicia penal capaz responder inmediatamente retos delincuencia. Este capitulo pretende evaluar componente aplicacion ley postular deberia sensibilizarse hacia delincuencia ciudadanos violaciones derechos humanos.",16
"QuizA¡ pasaje mA¡s influyente Estado Derecho Derecho Internacional provenga capAtulo 13 Leviathan Thomas Hobbes. En curso descripciA3n miserable condiciA3n humanidad naturaleza, Hobbes seA±ala lectores podrAan ser escA©pticos tal existido alguna vez, sA3lo mirar relaciones internacionales - relaciones independientes - observar uno:Pero aunque nunca ningAon tiempo, hombres particulares condiciA3n guerra otros, embargo, tiempos, Reyes, Personas Soberana autoridad, causa Independencia, estA¡n continuos celos, postura Gladiadores, armas apuntando, ojos fijos otros, decir, Fuertes, Guarniciones, Armas Fronteras Reinos, continuos EspAas vecinos, postura Guerra.",7
"Objetivos Este estudio exploratorio examina si mecanismos causales destacados teorias criminologicas funcionan misma manera explicar violencia motivos ideologicos (es decir, terrorismo) homicidios habituales (no politicos). Estudiamos si hipotesis nivel macro extraidas marcos privacion, reaccion desorganizacion social asocian probabilidad extremista extrema derecha cometio homicidio motivos ideologicos dentro EE.UU. contiguos resida condado concreto. Para ayudar evaluar si teorias criminologicas aplican terrorismo violencia habitual, tambien aplicamos hipotesis localizacion incidentes homicidio extrema derecha homicidio habitual, comparamos resultados.",6
"Aunque realizado progresos ultimos anos, pesar despliegue gran escala energias renovables, proporcion combinacion energetica sigue siendo baja, agrava continuos problemas contaminacion atmosferica toda region somete presion economias emergentes consecuencia fluctuaciones precios petroleo. Ademas, todavia necesario acelerar ritmo adopcion eficiencia energetica liberar inmensos beneficios intersectoriales. Los obstaculos financieros especialmente preocupantes, estrategias transicion energetica requieren grandes sumas inversion. Para colmar deficit financiacion, gobiernos deben apalancar fondos aumentar inversion sector privado, requiere mayor estabilidad previsibilidad formulacion politicas introduccion herramientas financiacion ayuden gestionar riesgo, menudo elevado, inversiones.",7
"Entre incluyen medidas EE residencial (impulsadas empresas servicios publicos autoridades locales) edificios publicos, programas sustitucion calderas, luces electrodomesticos (por ejemplo, impulsados empresas servicios publicos), cambio coches menos contaminantes (renovacion parque automovilistico) (Bowen et al., Varios paises proporcionan (o estan considerando) ayudas construccion nuevas infraestructuras energeticas, especialmente fuentes energia renovables, incentivos mejoras EE parte programas estimulo fiscal. Estos ultimos incluyen creditos fiscales compra hornos, ventanas aislamientos energeticamente eficientes, 5.000 millones dolares mejoras EE mas millon hogares rentas bajas 6.300 millones dolares mejorar eficiencia energetica viviendas sociales. En 2009, Comision Europea decidio destinar 3.980 millones euros proyectos energia limpia, infraestructuras gas electricidad, energia eolica marina CAC (pero proyectos EE) (Parlamento Europeo, 2009).",16
"Por ejemplo, etanol utiliza ampliamente diluyente gasolina mejorador octanaje, biodiesel combustible alternativo derivado aceites vegetales grasas animales. Las normas fundamentales evaluar seguridad combustibles alternativos. El etanol produce menos emisiones gases efecto invernadero gasolina gasoleo. """,7
"En Aoltimos 30 aA±os desarrollado formas revisiA3n judicial ""New Commonwealth"". Estos modelos revision caracterizan hacer hincapie dialogo institucional encima supremacia legislativa judicial. Asi, lugar otorgar tribunales poder revocacion, revision dialogica concede tribunales poder declarar legislacion ""incompatible"" normas derechos humanos, dejando ultima palabra legislacion poder legislativo. Este artAculo explora potencial controversia mecanismo vinculante emplea A¡mbito derecho penal. En particular, centra caso norirlandes R McR caso australiano Momcilovic Reina. Estos casos demuestran dificultades asociadas funcionamiento revision dialogica derecho penal.",16
"Si bien practica tribunales derechos humanos promueve coherencia regimenes derechos humanos regionales universales, principio integracion sistemica pretende ampliar contenido normativo tratado interpretado base instrumentos externos, especialmente instrumentos vinculantes. Por tanto, dicha practica puede conceptualizarse interpretacion, sino aplicacion instrumentos externos. Para defender argumento, baso teorAa Alf Ross fuentes derecho internacional. A continuaciA3n, tras ajustar teorAa Ross problemas especAficos siglo XXI proponer tres nociones refuerzan mutuamente (especificidad, exhaustividad finalidad) ayudan juez determinar Derecho aplicable caso, desarrollo contenido hipA3tesis pluralidad normativa.",16
"Las definiciones modernas delitos incoados bien conocidas Derecho penal Edad Media, sistemas juridicos continente europeo Common Law inglesa. Fueron desarrolladas principalmente jurisprudencia Tribunal Camara Estrellas, abolido 1640. Los delitos incoados incluyen tres delitos basicos: La tentativa, conspiracion incitacion, diferentes sistemas juridicos definen delitos incoados, complice encubridor Gran Bretana tras plena validacion Ley Delitos Graves 2007, c.27, s.44. En documento argumenta existe interaccion intensa lucha terrorismo delitos incoados. La lucha terrorismo afecta definicion delitos incoados, delitos incoados utilizan principales instrumentos Derecho penal lucha juridica terrorismo.",16
"En ultimos tiempos multiplicado hipotesis intervenciones ""cautelares"", decir, anticipacion generalizada momento libertades -desde libertad personal derecho intimidad, libertad circulacion libertad expresion- recorten nombre seguridad. La obra centra, elemento escenario mas amplio contempla enfrentamiento libertad seguridad, aspecto concreto: ¿Puede sistema democratico, fundado reconocimiento derechos libertad, optar sistema ""preventivo""? ¿Es mejor prevenir reprimir? El tema aborda mediante reconstruccion sistematica razonada interesante debate parlamentario finales siglo XIX involucro politicos juristas italianos apasionados discursos torno dicotomia ""prevenir/reprimir"" distintas versiones concepto prevencion.",7
"Este articulo examina lucha antiterrorista UE medida madura ambito juridico. Expone tres crAticas legislaciA3n antiterrorista UE: ineficacia, anticonstitucionalismo contradicciA3n derechos humanos Estado Derecho. Considera crAticas luz desarrollo polAticas iniciativas jurAdicas combatientes terroristas extranjeros radicalizaciA3n. Concluye existen problemas persistentes mejoras legislaciA3n. La capacidad UE hacer frente retos plantean terrorismo imperativo antiterrorista, forma hace, repercusiA3n mundial. El articulo concluye alegato favor mejor legislacion UE garantizar sirva mejor ejemplo derecho transnacional.",16
"RESUMEN Esta investigacion pone prueba efectos directos estructura funcion publica percepcion corrupcion. Numerosos estudios sugieren relacion estructura funcion publica corrupcion, pocos prueban vinculo. Se parte hipotesis corrupcion depende presencia ausencia politicas funcion publica, incluidas obligaciones laborales, disposiciones titularidad seguridad, politica disciplinaria normas recompensas derechos negociacion; tambien evalua impacto salarios publicos, PIB per capita democratizacion corrupcion. Estas hipotesis comprueban utilizando datos Banco Mundial paises Organizacion Cooperacion Desarrollo Economicos (OCDE) Europa Central Oriental. No encuentran relaciones estadisticamente significativas estructura funcion publica corrupcion; embargo, obtuvieron pruebas ocasionales corrupcion mayor paises masa salarial gubernamental mas elevada. Los resultados indican ademas corrupcion menor paises PIB mas alto. Aunque conclusiones ...",7
"En literatura crecimiento economico desarrollo debate si instituciones capital humano mas decisivos explicar diferencias rendimiento economico paises. Nuestro estudio anade mas argumentos debate centrandose 35 paises europeos. En concreto, estimamos efecto calidad institucional capital humano crecimiento econA3mico perAodo 1996-2014 modelo dinA¡mico datos panel. Empleamos estimaciA3n GMM sistema controlar problemas endogeneidad heterogeneidad. Nuestros resultados sugieren calidad institucional principal impulsor crecimiento renta per cA¡pita Europa. A nivel mas desagregado, encontramos estabilidad politica, Estado Derecho, calidad regulatoria control corrupcion parecen ser particularmente importantes, mientras voz rendicion cuentas, asi eficacia gobierno menos relevantes.",16
"La intermitencia corto plazo centrales eolicas solares impone grandes exigencias proveedores despachables demanda residual varien partes sustanciales carga plazos cortos. La capacidad seguir carga convertira criterio cada vez mas importante elegir distintas tecnologias respaldo. En contexto, solo nuclear hidraulica emiten gases efecto invernadero generacion electricidad.",7
"Desde principios dA©cada 1980, consumo energAa hogares experimentA3 altas tasas crecimiento. De hecho, consumo energA©tico hogares siguiA3 aumentando, aunque ritmo mA¡s lento. El nAomero vehAculos Sydney aumentA3 casi 2,4 millones 2007, nAomero vehAculos aumentA3 casi doble tasa crecimiento poblaciA3n hogares Aoltima dA©cada12. Cada vez mas habitantes zonas perifericas dependen coche desplazarse trabajo, ir compras estudiar servicios transporte publico deficientes.",16
"Actualmente llevando cabo proyecto demostracion redes inteligentes isla Jeju. La capacidad recoger transmitir datos tiempo real, asi dispositivos medicion permiten comunicacion bidireccional, permiten lectura distancia mayor participacion demanda. Los contadores inteligentes tambien ofrecen conjunto mas amplio tarifas basadas precios tiempo real. Los recursos energeticos distribuidos tecnologias generacion energia pequena escala (normalmente 3 10 000 kW) situadas cerca lugar utiliza electricidad (por ejemplo, hogar empresa) ofrecer alternativa mejora sistema electrico tradicional (Comision Energia California, 2008).",16
"Generalmente mide energia consumida dividida PIB, sector determinado energia consumida dividida valor anadido sector. Conservacion energia: implica satisfacer necesidades menor consumo energia. La conservacion energia mide unicamente terminos unidades energia reducidas relacion consumo energia despues.",16
"La comunidad internacional occidental basa valores normas polAticas liberales. Los derechos humanos liberales -libertades individuales, libertades civiles derechos polAticos- centro cultura polAtica. Son a€ valores constitutivos definen legitimidad Estado correcta acciA3n estatala€TM A¡mbito nacional internacional (Reus-Smit 1997: 558). En A¡mbito nacional, principios liberales orden social polAtico -el pluralismo social, Estado derecho, participaciA3n representaciA3n polAticas democrA¡ticas, propiedad privada economAa basada mercado- derivan derechos humanos liberales justifican ellos. SA3lo Estado basa sistema polAtico interno principios sigue forma fiable valores normas polAtica interna considerado plenamente legAtimo comunidad internacional occidental.",7
"El analisis pretendia, ultima instancia, lograr vision vias (politicas) estimular uso GNL combustible limpio transporte maritimo"". El acceso capital tan facil tiempos anteriores Lehmann. En consecuencia, incentivos fiscales instrumento fomentar uso GNL combustible buques. La inversion adicional equipos GNL financiarse diferencial precios GNL combustibles bajos azufre basado precios mercado. Casos autoridades comprendido aspectos especificos producto, inflamabilidad, dispersion, etc. Una situacion similar dio autoridades aceptaban buques seguros, pesar habian sido certificados acuerdo Convenio Internacional Seguridad Vida Humana Mar (SOLAS) OMI reglas clase.",16
"Las emisiones gases efecto invernadero (GEI) procedentes combustion combustibles fosiles sido principal causa calentamiento global antropogenico. El uso energia alcanzado escala estan traspasando limites planetarios serie procesos esenciales sistema Tierra, incluso terminos calentamiento global perdida biodiversidad, probablemente conducira cambio medioambiental catastrofico (Rockstrom otros, 2009). En 2005, combustibles fosiles representaban 85% combinacion energetica primaria mundial, mientras energia nuclear bajas emisiones carbono representaba 6%, hidroelectricidad 3% biomasa 4%.",7
"Los enfoques variaron, paises Camboya Republica Democratica Popular Lao combinaron ampliacion red amplios esfuerzos distribucion sistemas solares domesticos impulsar electrificacion rural. Otros paises, India Nepal, demostrado potencial microrredes ofrecer energia mayor calidad economicamente sostenible red. Tambien surgido asociaciones publico-privadas publico-sociedad civil, pioneras nuevos modelos incorporar ultimas tecnologias enfoques sistemas energia renovable conexion red.",16
"El modelo social discapacidad (MSS) Reino Unido origino contexto politico, constituye vez punto fuerte punto debil. Se llevado cabo buenas investigaciones sociales confines SSM. El MSE es, todo, herramienta brillante movilizar cambio. Pero puede aplicarse excesivo celo. Desde dA©cada 1990, desarrollado diversas crAticas MSE puesto manifiesto contradicciones insuficiencias. Del mismo modo, puede poner prueba paralelismos discapacidad movimientos sociales. Las politicas identidad psicologia explican parte fervor debates MSS. Para avanzar necesaria teoria social corporeidad.",16
"Hay tomar mas medidas frenar extracciones excesivas aguas subterraneas, ejemplo mejorando control introduciendo tasas extracciones acuiferos sobreexplotados. Su clima caracteristicas fisicas entorno, prominencia cadenas montanosas cerca costas caracteristicas suelo, hacen dotaciones naturales agua esten distribuidas forma desigual espacio tiempo. Estas caracteristicas determinado politicas hidricas, solian tener objetivo aumentar oferta mediante construccion grandes presas apoyo gubernamental. Con mas 1.300 presas, estima Espana cuarto pais mayor numero presas mundo (despues Estados Unidos, India China, Martinez-Cortina, 2010). A largo siglo pasado, politica aumento extracciones agua habitante nivel superior, termino medio, relacion recursos renovables, mayoria demas paises OCDE (Figura 4.1), pesar densidad poblacion relativamente baja.",16
"¿Existe derecho rechazar atencion psicosocial, puede imponerse dicha atencion voluntad? La legislacion derechos humanos, desarrollada anterioridad Convencion Derechos Personas Discapacidad (CDPD), respondia pregunta autorizaciones claras intervenciones obligatorias determinadas circunstancias: esencia, persona diagnostico psicosocial, percibe necesita tratamiento medico, dispuesta aceptarlo y/o corre riesgo autolesionarse danar otros. Tomada pie letra, CDPD radicalmente distinta. El texto tratado autoriza prohibe intervenciones obligatorias. En lugar, referencias igualdad trato establecen norma licito. Este artAculo explora contenido normativo norma sostiene intervenciones obligatorias deben ser pertinentes, necesarias proporcionadas. EvalAoa leyes salud mental Estados Partes funciA3n criterios analiza retos clave cumplan CDPD. (Menos)",16
"El capitulo presenta libro Solidarity in EU Law: Legal Principle in the Making, destacando trasfondo politico, social derechos humanos concepto solidaridad adquiriendo papel mas sustancial configuracion ordenamiento juridico Union Europea. Situa capitulos resumidos libro contexto, sirviendo punto referencia reflexionar tribulaciones probablemente enfrente solidaridad europea futuro, incluidas secuelas Brexit desafios Estado Derecho UE.",16
"La Ley Derechos Humanos 1998 entro vigor Reino Unido 2000, incorporando legislacion britanica articulos especificos Convenio Europeo Derechos Humanos, libertades frente tortura (articulo 3) esclavitud (articulo 4). Pero legislacion, derechos consagra, objeto duros ataques parte politicos sectores prensa britanica. Este articulo presenta firme defensa ley, haciendo referencia notables logros: obligacion impuso Reino Unido prohibir mantener persona esclavitud servidumbre, u obligarla realizar trabajos forzados.",16
"Los resultados basan serie supuestos simplificadores descritos seccion 4.2.1 deben interpretarse luz mismos. En caso, modelo TIMES especifico centrandose opciones tecnologicas ausencia distorsiones derivadas impuestos regulacion. Los resultados indicaran tendencias coste relativo distintas tecnologias puede lograrse transicion ecologica manera menos costosa.",7
"Esta nota analiza laudo internacional recientemente publicado caso Philip Morris Asia Limited Commonwealth Australia. Centrandose especialmente aplicacion parte Tribunal Arbitraje doctrina abuso derecho, nota aborda, luz laudo, serie cuestiones siguen dejando perplejos abogados especializados inversiones internacionales. ¿Como debe definirse concepto abuso derecho? ¿Cual situacion doctrina abuso derecho derecho internacional? ¿Cual relacion doctrina abuso derecho prueba previsibilidad? ¿Que importancia demostracion mala fe parte inversor aplicacion doctrina abuso derecho?",7
"Este capitulo examina ""precedente precedente"" Tribunal Supremo, decir, doctrina si Tribunal puede revocar propias decisiones constitucionales anteriores puede hacerlo. Debido gran medida influencia juez Louis Brandeis principios siglo XX, papel stare decisis casos constitucionales Tribunal paso ser vaga maxima derecho consuetudinario convertirse doctrina controvertida. Utilizando ""mapas opinion"" graficos trazar evolucion jurisprudencia Tribunal stare decisis, autor ilustra division doctrina stare decisis dos tradiciones opuestas: tradicion ""debil"" permite anulacion basada razonamiento supuestamente defectuoso decision anterior, tradicion ""fuerte"" exige alguna justificacion independiente, basada meritos, anulacion. El autor demuestra jueces menudo alineado ambas tradiciones diferentes casos, sugiere fuerza ""precedente precedente"" Tribunal mas retorica restrictiva.",16
"No obstante, proporciona indicacion util, aunque burda, adecuacion sistema electrico. En caso paises europeos, sucedio raiz primera directiva mercado electricidad, 1996. En mercados desregulados, empresas privadas interes mantener capacidad sobrante sirviera mitigar costes precios caso picos repentinos demanda. Al contrario, picos oportunidades bienvenidas obtener beneficios adicionales financiar costes fijos centrales carga punta. Debido inelasticidad demanda electricidad, casi inevitable cierto poder mercado horas punta nuevos operadores tendrian recorrer camino dificil beneficiarse altos precios provocar exceso capacidad repentino bajadas precios.",7
"1. 1. Perspectivas operaciones paz derechos humanos 2. Mantenimiento paz conformidad normas derechos humanos: Las deficiencias MINUSTAH Haiti 3. La ""responsabilidad proteger"" fuerzas apoyo paz segun Derecho Internacional Derechos Humanos 3. La ""responsabilidad proteger"" fuerzas apoyo paz segun Derecho Internacional Derechos Humanos. ¿Implementacion traves cooperacion? Los oficiales derechos humanos militares Kosovo, 1999-2002 5. Hacer cumplir derechos humanos: El papel policia civil ONU Kosovo 6. El Estado Derecho proteccion derechos humanos traves cooperacion internacional Estado Derecho Proteccion Derechos Humanos traves Reforma Derecho Penal: Codigos modelo justicia penal situaciones posconflicto. An Assessment of UN Efforts to Address Sexual Misconduct by Peacekeeping Personnel 8. Integracion Derechos Humanos Operaciones Paz. 8. Integracion Derechos Humanos Operaciones Paz: ¿Existe Modelo? 9. 9. Aspectos derechos humanos operaciones gestion crisis UE: De molestia necesidad 10. Paz frente justicia: Crear derechos orden partir caos 11. Mantenimiento paz, observadores derechos humanos. 11. Mantenimiento paz, observadores derechos humanos: Retos futuro 12. Resumen 13. Documentacion",16
"En artAculo cuestiono concepto predominante ""relaciA3n especial"" Reino Unido Estados Unidos fin mejorarlo herramienta anA¡lisis investigadores. En actual, relaciA3n especial llama atenciA3n vAnculo comAon dos actores estatales periodo posterior Segunda Guerra Mundial, especialmente tA©rminos cooperaciA3n militar. Esta concepciA3n impone costes analAticos, saber, elusiA3n imperialismo caracterAstica relaciones angloamericanas marginaciA3n concomitante actores sociales subalternos. En respuesta, propongo reconcepciA3n plantea subalternos -terceros- parte integrante relaciA3n, captando asA mejor realidad empArica relaciones angloamericanas pasadas presentes. Desde punto vista teA3rico, baso estudios Relaciones Internacionales poscoloniales recientes teorAas amistad polAtica internacional. Empiricamente, presento estudio caso base militar estadounidense Diego Garcia Islas Chagos.",16
"El programa ejecuta apoyo Banco Interamericano Desarrollo, WWF FundaciA3n Gonzalo RAo Arronte, tambiA©n centra establecer proteger reservas caudal medio ambiente reducir vulnerabilidad cuencas fluviales cambio climA¡tico. Durante tiempo, decada 1970, asignacion derechos agua hacia esencialmente orden llegada configuraba torno fuertes conceptos sociales equidad. Las licencias agua concedidas pais asignaban funcion economia anterior siglo XX, preveian enormes demandas nueva economia pondria juego.",16
"El documento presenta reflexion camino toma conciencia derechos humanos, promover participacion mujeres darles plena ciudadania. El debate condicion mujer violencia genero, abarcado cuestion seguridad humana proteccion libertad vital, estimulando sistemas politicos, derecho internacional cultura paz igualdad oportunidades.",7
"Podrian deducirse muchas conclusiones evolucion Derecho penal internacional tal analizado anteriormente. Sin embargo, exponen continuacion mas destacadas deben considerarse representativas reflejan panorama completo: El estudio historia Derecho penal internacional demuestra claramente componentes comunidad internacional, incluidos Estados-nacion, siempre mostraron interes establecer instituciones mecanismos solidos concretos proposito general garantizar enjuiciamiento castigo delincuentes cometido consideraban crimenes Derecho internacional proposito particular crear tribunal penal internacional permanente jurisdiccion universal abordar prevencion comision tipos crimenes mencionados o, caso comision, castigar autores.",16
"El fraude Seguridad Social delitos cuello blanco representan formas graves delincuencia financiera. Comparamos estimaciones anteriores fraude seguridad social Noruega realizadas metodologia comparable aplicado delitos cuello blanco. Aunque estimacion 9.800 millones coronas noruegas fraude seguridad social enorme nacion Noruega, sugerimos cantidad correspondiente delitos cuello blanco aun mayor. Tambien aplicamos teoria conflicto social debatir cuestion prioridades aplicacion ley fraude seguridad social delitos cuello blanco. Segun teoria conflicto social, sistema judicial sesgado disenado proteger ricos poderosos. Nunca aceptaran opinion persecucion fraude menor representa especie sobrecriminalizacion dirigida perdedores sociedad.",16
"Al igual Convenio Genocidio, proyecto articulos crimenes humanidad limita cuestiones castigo. Tambien, preambulo especialmente articulo 4, imponen obligacion prevencion. Se basa principalmente sentencia 2007 Corte Internacional Justicia, asi jurisprudencia tribunales internacionales derechos humanos. La obligacion dimension interna, Estados deben prevenir crimenes humanidad dentro propia jurisdiccion. Pero tambien dimension externa obliga cooperacion internacional incluso intervencion, debe ser necesariamente compatible Carta Naciones Unidas. El proyecto articulos tan solido Convencion Genocidio respecta delitos incoados incitacion conspiracion. La obligacion devolucion tambien dimension funcion preventiva proyecto articulos.",16
"Este objetivo politico podria encontrar resistencia parte generadores locales electricidad empresas servicios publicos, alegando capacidad sistema seguira siendo misma mientras demanda fluctuara dia noche. Aunque politica podria reducir ingresos companias electricas, beneficios largo plazo primordiales preocupaciones comerciales deberian obstaculizar expansion integracion red electrica comercio. Infraestructura: incluidos recursos naturales, infraestructura general pais, capacidad red, infraestructura mercado, tasa acceso electricidad demanda prevista. Instituciones: instituciones publicas privadas relacionadas energias renovables, politicas clave, acceso financiacion energias renovables, entorno macroeconomico.",7
IntroducciA3n -- Combatientes extranjeros conflicto Siria Irak: EstadAsticas caracterAsticas fenA3meno rA¡pido crecimiento -- La participaciA3n combatientes extranjeros guerras nacionales internacionales: repaso histA3rico -- Los combatientes extranjeros reto teorAa relaciones internacionales -- Combatientes extranjeros: Motivations for Travel to Foreign Conflicts -- The Emerging Role of Social Media in the Recruitment of Foreign Fighters Gabriel Weimann -- Analysing the Recruitment and Use of Foreign Men and Women in ISIL through Gender Perspective -- The Military Impact of Foreign Fighters on the Battlefield: the Case of the ISIL -- The Status of Foreign Fighters under International Humanitarian Law Emanuele Sommario -- Foreign Fighters and International Criminal Law -- Child Soldiers: the Expanding Practice of Minors Recruited to Become Foreign Fighters -- Armed Opposition Groupsa€TM (and Foreign Fightersa€TM) Abidance by Human Rights Law: the Issue of Compliance in Syria and Iraq.,16
"Este artAculo comienza debate derecho internacional humanitarismo derechos humanos indican tendencias relaciones internacionales (tambiA©n conocidas asuntos mundiales), pasa debate neutralidad y, continuaciA3n, analiza ejemplos concretos humanitarismo neutral contexto. Su tema central argumento favor cuidado uso tA©rminos utilidad formas tradicionales humanitarismo neutral, dentro lAmites definidos.",6
"El derecho intimidad, ser derecho civil politico, pertenece primera generacion derechos humanos importancia puede menoscabarse ningun sentido. El Consejo Europa adopto 1950 Convenio Europeo Derechos Humanos (CEDH) promocion democracia, Estado Derecho, derechos humanos desarrollo social. Este documento examinara derecho intimidad tal resolvio caso Copland Reino Unido analizara principios dicho caso dichos principios sentado bases aplicacion derecho intimidad tal hoy dia. La practica privacidad mundo cuestiones analogas tambien analizan brevemente documento.",7
"Los ""nuevos soberanistas"", destacado grupo acadA©micos responsables polAticos, expresan opiniA3n generalizada gobernanza mundial intrAnsecamente antidemocrA¡tica socava soberanAa popular. A pesar problemas argumento, sostenemos identifican tensiA3n real grave. Sin embargo, tambien sostenemos vision democracia soberania popular defienden volviendo incoherente insostenible creciente interdependencia. Las concepciones democracia ancladas soberania popular dependen legitimidad condiciones empiricas dan. Lo denominamos nuevo reto soberanista gobernanza mundial consiste desarrollar concepcion alternativa democracia evite logica formas soberania popular escala mundial, dejar ello respetar promover democracia democratizacion dentro Estados. Aqui esbozamos alternativas.",16
"Uno documentos politicos mas importantes Estrategia Energetica Republica Moldavia 2020, publico 2007 tres objetivos estrategicos: seguridad suministro energetico, promocion eficiencia energetica economica, liberalizacion mercado energetico reestructuracion industria energetica. El Ministerio Economia supervisa trimestralmente avances aplicacion estrategia. La eficiencia energetica prioridad Republica Moldavia objetivos politicos estrategicos conservacion energia definido Programa Nacional Conservacion Energia (2003).",7
"Este documento sostiene acceso servicios publicos electronicos fomenta compromiso ciudadanos procesos elaboracion politicas gobierno electronico empoderamiento ciudadanos traves participacion procesos democraticos paises desarrollo/en transicion Tayikistan. Presenta e-ciudadania, e-participacion fuerza motriz, fenomeno relacionado transformacion papel estatus ciudadano periferia e-gobierno nucleo e-democracia. Esta transformacion basa principalmente tres modelos e-participacion, saber: push, pull interactiva. Para encontrar pruebas transformacion, contrastaron modelos cinco tipos distintos libertad instrumental individual, identificados Amartya Sen. Se aplico marco analitico, adaptado teoria enfoque capacidades Sen, analizar pruebas reveladas. Se identifico perfil ciberciudadanos atributos evaluar papel Tayikistan.",16
"¿Hasta punto normas competencia personal tribunales estatales distribuyen litigios foro puede resolver conflicto menor coste social? Resulta normas actuales seleccionan foro menos costoso casos. Sin embargo, tres problemas interfieren objetivo minimizar costes resoluciA3n litigios: (a) anA¡lisis virtud ClA¡usula Debido Proceso cuenta costes sociales litigios, (b) preocupaciones basadas federalismo veces permiten tribunales estatales resuelvan casos foros mA¡s adecuados, (c) factores institucionales limitan capacidad Tribunal Supremo impedir ejercicio excesivo jurisdicciA3n tribunales estatales. El dilema lograr eficiencia foro dentro marco legal institucional existente ayuda explicar confusiA3n impregna casos jurisdicciA3n personal tribunales estatales Tribunal Supremo.",7
"Este articulo desarrolla argumento tipo implicaciones teoria justicia global imparcialidad generaria instituciones globales. La principal conclusion teoria ciudadania incluya obligaciones politicas hacia conciudadanos podria servir base teoria ciudadania global deberes hacia semejantes. El articulo termina esbozo mejoras instituciones existentes Naciones Unidas doctrina derechos humanos, especialmente inclusion objetivo democracia derecho internacional.",7
"Japon desarrollado exito varios programas subvenciones instalaciones solares 1993. Sin embargo, pico 2008 region Pacifico podria deberse reciente entrada vigor incentivos fiscales Corea Sur. La capacidad bruta total entra mercado tres paises Pacifico bastante baja comparacion Europa Norteamerica.",16
"En decada 1990, Tribunal Superior Australia propuso principio debido proceso, segun Parlamento Commonwealth puede exigir autorizar tribunal capitulo III ejerza poder judicial manera incompatible caracter esencial tribunal naturaleza poder judicial. El Alto Tribunal sigue respaldando principio debido proceso 2004, trata principio radical, sino simplemente aspecto doctrina cada vez mas influyente separacion poder judicial federal poder legislativo ejecutivo.",6
